Program,ProgramAbbr,AcademicYear,SchoolYear,CourseID,CourseName,CourseBegin,CourseEnd,Rotation,Campus,EvalName,EvalTitle,EvalType,EvaluatorUserID,EvaluatorNetID,EvaluatorFirst,EvaluatorLast,EvaluateeNetID,EvaluateeFirst,EvaluateeLast,QuestionID,QuestionNumber,QuestionType,QuestionText,ResponseNum,ResponseText,ResponseValue,SummaryStatus,Theme,RubricComment,evalLinkID,evalType,,
MEDICINE,MD2011,SOM 2021/2022,MED Third Year,14541,Cardiovascular Medicine,7/1/20,8/31/21,1,Main Campus,Clinical Faculty: Evaluation of students,Clerkship Evaluation Form,Faculty evaluating Students,2710576,LCMS-JAbbott,Jared,Abbott,user9002,Plasti,Agnio,67,1,Radio,How was this student?  Rate on a scale of 1 to 5.,5,Above Average,10,,,,125156,FOS,S,F
MEDICINE,MD2011,SOM 2021/2022,MED Third Year,14541,Cardiovascular Medicine,7/1/20,8/31/21,1,Main Campus,Clinical Faculty: Evaluation of students,Clerkship Evaluation Form,Faculty evaluating Students,2710577,LCMS-JAbbott,Jared,Abbott,IXA26,Imad,Aljabban,67,1,Radio,How was this student?  Rate on a scale of 1 to 5.,3,Acceptable,6,,,,125156,FOS,S,F
MEDICINE,MD2011,SOM 2021/2022,MED Third Year,14541,Cardiovascular Medicine,7/1/20,8/31/21,1,Main Campus,Clinical Faculty: Evaluation of students,Clerkship Evaluation Form,Faculty evaluating Students,2710576,LCMS-JAbbott,Jared,Abbott,user9002,Plasti,Agnio,68,2,Radio,How often was this student prepared for their events?,4,Constantly,5,,,,125156,FOS,S,F
MEDICINE,MD2011,SOM 2021/2022,MED Third Year,14541,Cardiovascular Medicine,7/1/20,8/31/21,1,Main Campus,Clinical Faculty: Evaluation of students,Clerkship Evaluation Form,Faculty evaluating Students,2710577,LCMS-JAbbott,Jared,Abbott,IXA26,Imad,Aljabban,68,2,Radio,How often was this student prepared for their events?,4,Constantly,5,,,,125156,FOS,S,F
MEDICINE,MD2011,SOM 2021/2022,MED Third Year,14541,Cardiovascular Medicine,7/1/20,8/31/21,1,Main Campus,Clinical Faculty: Evaluation of students,Clerkship Evaluation Form,Faculty evaluating Students,2710576,LCMS-JAbbott,Jared,Abbott,user9002,Plasti,Agnio,239,3,List,Does this student meet the Course requirements?,5,Yes,20,,,,125156,FOS,S,F
MEDICINE,MD2011,SOM 2021/2022,MED Third Year,14541,Cardiovascular Medicine,7/1/20,8/31/21,1,Main Campus,Clinical Faculty: Evaluation of students,Clerkship Evaluation Form,Faculty evaluating Students,2710577,LCMS-JAbbott,Jared,Abbott,IXA26,Imad,Aljabban,239,3,List,Does this student meet the Course requirements?,5,Yes,20,,,,125156,FOS,S,F
MEDICINE,MD2011,SOM 2021/2022,MED Third Year,14541,Cardiovascular Medicine,7/1/20,8/31/21,1,Main Campus,Clinical Faculty: Evaluation of students,Clerkship Evaluation Form,Faculty evaluating Students,2985533,sandra.superuser,Sandra,Super User,IXA26,Imad,Aljabban,67,1,Radio,How was this student?  Rate on a scale of 1 to 5.,3,Acceptable,6,Closed,,,125156,FOS,S,F
MEDICINE,MD2011,SOM 2021/2022,MED Third Year,14541,Cardiovascular Medicine,7/1/20,8/31/21,1,Main Campus,Clinical Faculty: Evaluation of students,Clerkship Evaluation Form,Faculty evaluating Students,2985534,sandra.superuser,Sandra,Super User,user9002,Plasti,Agnio,67,1,Radio,How was this student?  Rate on a scale of 1 to 5.,5,Above Average,10,Closed,,,125156,FOS,S,F
MEDICINE,MD2011,SOM 2021/2022,MED Third Year,14541,Cardiovascular Medicine,7/1/20,8/31/21,1,Main Campus,Clinical Faculty: Evaluation of students,Clerkship Evaluation Form,Faculty evaluating Students,2985533,sandra.superuser,Sandra,Super User,IXA26,Imad,Aljabban,68,2,Radio,How often was this student prepared for their events?,4,Constantly,5,Closed,,,125156,FOS,S,F
MEDICINE,MD2011,SOM 2021/2022,MED Third Year,14541,Cardiovascular Medicine,7/1/20,8/31/21,1,Main Campus,Clinical Faculty: Evaluation of students,Clerkship Evaluation Form,Faculty evaluating Students,2985534,sandra.superuser,Sandra,Super User,user9002,Plasti,Agnio,68,2,Radio,How often was this student prepared for their events?,4,Constantly,5,Closed,,,125156,FOS,S,F
MEDICINE,MD2011,SOM 2021/2022,MED Third Year,14541,Cardiovascular Medicine,7/1/20,8/31/21,1,Main Campus,Clinical Faculty: Evaluation of students,Clerkship Evaluation Form,Faculty evaluating Students,2985533,sandra.superuser,Sandra,Super User,IXA26,Imad,Aljabban,239,3,List,Does this student meet the Course requirements?,5,Yes,20,Closed,,,125156,FOS,S,F
MEDICINE,MD2011,SOM 2021/2022,MED Third Year,14541,Cardiovascular Medicine,7/1/20,8/31/21,1,Main Campus,Clinical Faculty: Evaluation of students,Clerkship Evaluation Form,Faculty evaluating Students,2985534,sandra.superuser,Sandra,Super User,user9002,Plasti,Agnio,239,3,List,Does this student meet the Course requirements?,5,Yes,20,Closed,,,125156,FOS,S,F
MEDICINE,MD2011,SOM 2018/2019,MED First Year,14464,Cardiovascular System,7/1/18,2/1/20,1,Main Campus,Clinical Faculty: Evaluation of students,Preceptor Evaluation of Student,Clinical Faculty evaluating Students,1835430,ffrost,Franky,Frost,user9545,Jared,Corodin,67,1,Radio,How was this student?  Rate on a scale of 1 to 5.,4,Good,8,,,,124035,CFS,S,F
MEDICINE,MD2011,SOM 2018/2019,MED First Year,14464,Cardiovascular System,7/1/18,2/1/20,1,Main Campus,Clinical Faculty: Evaluation of students,Preceptor Evaluation of Student,Clinical Faculty evaluating Students,1835431,ffrost,Franky,Frost,user9539,Tracy,Millers,67,1,Radio,How was this student?  Rate on a scale of 1 to 5.,4,Good,8,,,,124035,CFS,S,F
MEDICINE,MD2011,SOM 2018/2019,MED First Year,14464,Cardiovascular System,7/1/18,2/1/20,1,Main Campus,Clinical Faculty: Evaluation of students,Preceptor Evaluation of Student,Clinical Faculty evaluating Students,1835432,ffrost,Franky,Frost,user9547,Kevin,Moose,67,1,Radio,How was this student?  Rate on a scale of 1 to 5.,5,Above Average,10,,,,124035,CFS,S,F
MEDICINE,MD2011,SOM 2018/2019,MED First Year,14464,Cardiovascular System,7/1/18,2/1/20,1,Main Campus,Clinical Faculty: Evaluation of students,Preceptor Evaluation of Student,Clinical Faculty evaluating Students,1835433,ffrost,Franky,Frost,user9511,Kelly,Spark,67,1,Radio,How was this student?  Rate on a scale of 1 to 5.,5,Above Average,10,,,,124035,CFS,S,F
MEDICINE,MD2011,SOM 2018/2019,MED First Year,14464,Cardiovascular System,7/1/18,2/1/20,1,Main Campus,Clinical Faculty: Evaluation of students,Preceptor Evaluation of Student,Clinical Faculty evaluating Students,1835430,ffrost,Franky,Frost,user9545,Jared,Corodin,68,2,Radio,How often was this student prepared for their events?,4,Constantly,5,,,,124035,CFS,S,F
MEDICINE,MD2011,SOM 2018/2019,MED First Year,14464,Cardiovascular System,7/1/18,2/1/20,1,Main Campus,Clinical Faculty: Evaluation of students,Preceptor Evaluation of Student,Clinical Faculty evaluating Students,1835431,ffrost,Franky,Frost,user9539,Tracy,Millers,68,2,Radio,How often was this student prepared for their events?,4,Constantly,5,,,,124035,CFS,S,F
MEDICINE,MD2011,SOM 2018/2019,MED First Year,14464,Cardiovascular System,7/1/18,2/1/20,1,Main Campus,Clinical Faculty: Evaluation of students,Preceptor Evaluation of Student,Clinical Faculty evaluating Students,1835432,ffrost,Franky,Frost,user9547,Kevin,Moose,68,2,Radio,How often was this student prepared for their events?,3,Often,4,,,,124035,CFS,S,F
MEDICINE,MD2011,SOM 2018/2019,MED First Year,14464,Cardiovascular System,7/1/18,2/1/20,1,Main Campus,Clinical Faculty: Evaluation of students,Preceptor Evaluation of Student,Clinical Faculty evaluating Students,1835433,ffrost,Franky,Frost,user9511,Kelly,Spark,68,2,Radio,How often was this student prepared for their events?,4,Constantly,5,,,,124035,CFS,S,F
MEDICINE,MD2011,SOM 2018/2019,MED First Year,14464,Cardiovascular System,7/1/18,2/1/20,1,Main Campus,Clinical Faculty: Evaluation of students,Preceptor Evaluation of Student,Clinical Faculty evaluating Students,1835430,ffrost,Franky,Frost,user9545,Jared,Corodin,239,3,List,Does this student meet the Course requirements?,5,Yes,20,,,,124035,CFS,S,F
MEDICINE,MD2011,SOM 2018/2019,MED First Year,14464,Cardiovascular System,7/1/18,2/1/20,1,Main Campus,Clinical Faculty: Evaluation of students,Preceptor Evaluation of Student,Clinical Faculty evaluating Students,1835431,ffrost,Franky,Frost,user9539,Tracy,Millers,239,3,List,Does this student meet the Course requirements?,5,Yes,20,,,,124035,CFS,S,F
